
活动连接

  协议  本地地址          外部地址        状态           PID
  TCP    10.0.24.15[局域网]:52116       18.65.185.26[美国]:443       CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:52119       18.65.185.26[美国]:443       CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:52122       18.65.185.26[美国]:443       CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:52689       13.249.167.78[日本]:443      CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:52692       13.249.167.78[日本]:443      CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:52695       13.249.167.78[日本]:443      CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:52698       13.249.167.78[日本]:443      CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:52701       13.249.167.78[日本]:443      CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:52704       13.249.167.78[日本]:443      CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:53025       13.225.173.88[美国]:443      CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:53028       13.225.173.88[美国]:443      CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:54076       13.249.167.127[日本]:443     CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:54132       143.204.126.34[美国]:443     CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:54135       143.204.126.34[美国]:443     CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:54140       143.204.126.75[美国]:443     CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:56226       13.224.141.109[日本]:443     CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:56229       13.224.141.109[日本]:443     CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:57048       169.254.0.55[本地]:5574      ESTABLISHED     84
  TCP    10.0.24.15[局域网]:57073       13.249.167.13[日本]:443      CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:57076       13.249.167.13[日本]:443      CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:57079       13.249.167.13[日本]:443      CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:57082       13.249.167.13[日本]:443      CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:57085       13.249.167.13[日本]:443      CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:57089       13.249.167.13[日本]:443      CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:58442       18.65.185.26[美国]:443       CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:58445       18.65.185.26[美国]:443       CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:58450       18.65.185.26[美国]:443       CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:58454       18.65.185.26[美国]:443       CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:58457       18.65.185.26[美国]:443       CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:58460       18.65.185.26[美国]:443       CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:59691       18.65.185.27[美国]:443       CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:59694       18.65.185.27[美国]:443       CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:60078       13.225.173.70[美国]:443      CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:60081       13.225.173.70[美国]:443      CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:60084       65.9.42.117[美国]:443        CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:60451       13.249.167.127[日本]:443     CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:60454       13.249.167.127[日本]:443     CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:60457       65.9.42.117[美国]:443        CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:60784       13.225.165.10[日本]:443      TIME_WAIT       0
  TCP    10.0.24.15[局域网]:60785       13.225.165.10[日本]:443      TIME_WAIT       0
  TCP    10.0.24.15[局域网]:60797       169.254.0.203[本地]:80       TIME_WAIT       0
  TCP    10.0.24.15[局域网]:60829       169.254.0.203[本地]:80       TIME_WAIT       0
  TCP    10.0.24.15[局域网]:60833       169.254.0.203[本地]:80       ESTABLISHED     2124
  TCP    10.0.24.15[局域网]:61503       13.225.173.117[美国]:443     CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:61506       13.225.173.117[美国]:443     CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:61509       13.225.173.117[美国]:443     CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:61512       13.225.173.117[美国]:443     CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:61515       13.225.173.117[美国]:443     CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:61518       13.225.173.117[美国]:443     CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:61932       18.65.185.26[美国]:443       CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:61935       18.65.185.26[美国]:443       CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:61938       13.35.49.4[日本]:443         CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:62690       13.35.49.22[日本]:443        CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:62823       18.65.185.26[美国]:443       CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:62826       18.65.185.26[美国]:443       CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:62829       18.65.185.26[美国]:443       CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:62832       18.65.185.26[美国]:443       CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:63075       13.224.141.109[日本]:443     CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:63078       13.224.141.109[日本]:443     CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:63081       13.224.141.109[日本]:443     CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:63084       13.224.141.109[日本]:443     CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:63087       13.224.141.109[日本]:443     CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:63918       13.249.167.13[日本]:443      CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:63922       13.249.167.13[日本]:443      CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:63925       13.249.167.13[日本]:443      CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:64064       18.65.185.95[美国]:443       CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:64070       18.65.185.95[美国]:443       CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:64073       18.65.185.95[美国]:443       CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:64076       18.65.185.95[美国]:443       CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:64079       18.65.185.95[美国]:443       CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:64082       18.65.185.95[美国]:443       CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:64464       13.249.167.13[日本]:443      CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:64467       13.249.167.13[日本]:443      CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:64470       13.249.167.13[日本]:443      CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:64473       13.249.167.13[日本]:443      CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:64476       13.249.167.13[日本]:443      CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:64884       143.204.126.79[美国]:443     CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:64887       143.204.126.79[美国]:443     CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:64891       143.204.126.79[美国]:443     CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:64894       143.204.126.79[美国]:443     CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:64897       143.204.126.79[美国]:443     CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:64900       143.204.126.79[美国]:443     CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:64998       143.204.126.10[美国]:443     CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:65001       143.204.126.10[美国]:443     CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:65004       143.204.126.75[美国]:443     CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:65405       13.249.167.31[日本]:443      CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:65408       13.249.167.31[日本]:443      CLOSE_WAIT      5832
  TCP    10.0.24.15[局域网]:65411       13.249.146.121[日本]:443     CLOSE_WAIT      5832
  TCP    127.0.0.1[本机地址]:6942         0.0.0.0[IANA]:0              LISTENING       5832
  TCP    127.0.0.1[本机地址]:14147        0.0.0.0[IANA]:0              LISTENING       1176
  TCP    127.0.0.1[本机地址]:63342        0.0.0.0[IANA]:0              LISTENING       5832
  TCP    127.0.0.1[本机地址]:64766        127.0.0.1[本机地址]:64767        ESTABLISHED     5832
  TCP    127.0.0.1[本机地址]:64767        127.0.0.1[本机地址]:64766        ESTABLISHED     5832
